GUI.show_tooltip                            -- Begin --                            | ('Filter will be reflected in Test cases list below.',)
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
GUI.browse_cg_file                          -- Begin --                            | ('CG3531',)
GUI.browse_cg_file                          -- Function executed successfully  --  | C:\Users\nestor.navarro\Workspace\Report\CG3531Apr2020.xlsx
GUI.checkbox_toggle                         -- Begin --                            | ()
GUI.get_test_suites                         -- Begin --                            | ()
GUI.get_test_suites                         -- Function executed successfully  --  | ['CG3531_0x2F_DeviceLimitsExceeded', 'CG3531_0x31_DeviceLimitsExceeded', 'CG3531_Automodified_NVRAM', 'CG3531_COMMON_DIDs', 'CG3531_Corp_Standard_DTCs', 'CG3531_DiagnosticFaultDetection', 'CG3531_NetworkSupervision', 'CG3531_RID_0200_0204_0205_0272', 'CG3531_RID_0209_FF00', 'CG3531_RID_021E', 'CG3531_RID_023A_023B', 'CG3531_RID_02C0', 'CG3531_RID_02C3', 'CG3531_RID_0300', 'CG3531_RID_03C2', 'CG3531_RID_FF01', 'CG3531_SecurityAccess']
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['0x2F_DevLimits_1.py', '0x2F_DevLimits_2.py', '0x2F_DevLimits_3.py', '0x2F_DevLimits_4.py', '0x2F_DevLimits_5.py', 'config.ini', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.checkbox_toggle                         -- Function executed successfully  --  | None
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['config.ini', 'NetworkSupervision_CoverageTable.PNG', 'NetworkSupervision_TC01.py', 'NetworkSupervision_TC02.py', 'NetworkSupervision_TC03.py', 'NetworkSupervision_TC04.py', 'NetworkSupervision_TC05.py', 'NetworkSupervision_TC06.py', 'NetworkSupervision_TC07.py', 'NetworkSupervision_TC08.py', 'NetworkSupervision_TC09.py', 'NetworkSupervision_TC10.py', 'NetworkSupervision_TC11.py', 'NetworkSupervision_TC12.py', 'NetworkSupervision_TC14.py', 'NetworkSupervision_TC15.py', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Filter will be reflected in Test cases list below.',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.get_test_suites                         -- Begin --                            | ()
GUI.get_test_suites                         -- Function executed successfully  --  | ['CG3388_0x10', 'CG3388_0x11', 'CG3388_0x14', 'CG3388_0x19', 'CG3388_0x22', 'CG3388_0x27', 'CG3388_0x28', 'CG3388_0x2A', 'CG3388_0x2C', 'CG3388_0x2E', 'CG3388_0x2F', 'CG3388_0x31', 'CG3388_0x34', 'CG3388_0x36', 'CG3388_0x37', 'CG3388_0x3E', 'CG3388_0x85', 'CG3388_Multiple_Tester', 'CG3388_NRC_78', 'CG3388_Scanner', 'CG3388_TransportLayer', 'CG3531_0x2F_DeviceLimitsExceeded', 'CG3531_0x31_DeviceLimitsExceeded', 'CG3531_Automodified_NVRAM', 'CG3531_COMMON_DIDs', 'CG3531_Corp_Standard_DTCs', 'CG3531_DiagnosticFaultDetection', 'CG3531_NetworkSupervision', 'CG3531_RID_0200_0204_0205_0272', 'CG3531_RID_0209_FF00', 'CG3531_RID_021E', 'CG3531_RID_023A_023B', 'CG3531_RID_02C0', 'CG3531_RID_02C3', 'CG3531_RID_0300', 'CG3531_RID_03C2', 'CG3531_RID_FF01', 'CG3531_SecurityAccess', 'CG3687_Comp_Hand', 'CG3687_Diagnostic_Address_Support', 'CG3687_ECU_Proc_Modes', 'CG3687_Gen_Boot_Requirements', 'CG3687_Proc_Modes_Details', 'CG3687_Programming_Error_Codes', 'CG3687_Prog_Data_Files', 'CG3687_Prog_Sess_Det', 'CG3687_Robustness', 'CG4577_RationalityApplication', 'CG4577_RationalityInfrastructure', 'DPS', '__dummy__', '__Examples__', '__pycache__']
GUI.show_tooltip                            -- Begin --                            | ('Directory containing report folders to be analyzed',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Generated HTML report is going to be saved to this directory',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['config.ini', 'RID_0200_Issue__506409.7z', 'Test_00_1_Basic_Test_Begin.py', 'Test_00_Basic_PyUDS_TestScript.py', 'Test_01_CanoeSimulation.py', 'Test_02_Read_Data_ID.py', 'Test_03_Excel.py', 'Test_04_AllServices.py', 'Test_05_SecurityLevels.py', 'Test_06_Signals_EnvVariables.py', 'Test_07_Step_delay.py', 'Test_08_SecurityLevels_CMAC_AES_Encryption - Copy.py', 'Test_09_Ignition_switch.py', 'Test_10_Signals+Custom_UDS.py', 'Test_11_Transition_to_programmingSession.py', 'Test_12_2C_Cumstom_UDS.py', 'Test_13_ProvisionKeys.py', 'Test_14_DisableComm_ReqSeed_01.py', 'Test_15_Multiple_tester.py', 'Test_16_WriteSBAT_NRC33.py', 'Test_17_PowerSupply.py', 'Test_18_Sys_Vars.py', 'Test_19_TimeSync_Thread.py', 'Test_20_Service_0x2A_Timing_DataIntegrity.py', 'Test_21_DataLength.py', 'Test_22_NestedNS_Sys_Vars.py', 'Test_23_Binary_Test.py', 'Test_24_Specific_Byte.py', 'Test_25_Sw_Prog_State.py', 'Test_26_Read_Binary.py', 'Test_27_Data_Dtc.py', 'Test_28_2A_Service.py', 'Test_29_Digital_IO.py', 'Test_30_Begin_Parameters.py', 'Test_31_TP_Test.py', 'Test_32_NRC_78.py', 'Test_47_Intersection.py', 'Test_48_Intersection.py', 'Test_49_Intersection.py', 'Test_50_Intersection.py', 'Test_51_Intersection.py', 'Test_52_Intersection.py', 'Test_53_Intersection.py', 'Test_54_Intersection.py', 'Test_55_Intersection.py', 'Test_56_Intersection.py', 'Test_57_Intersection.py', 'Test_58_Intersection.py', 'Test_59_Intersection.py', 'Test_60_Intersection.py', 'Test_61_Intersection.py', 'Test_62_Intersection.py', 'Test_63_Intersection.py', 'Test_64_Intersection.py', 'Test_65_Intersection.py', 'Test_66_Intersection.py', 'Test_67_Intersection.py', 'Test_68_Intersection.py', 'Test_69_Intersection.py', 'Test_70_Intersection.py', 'Test_71_Intersection.py', 'Test_72_Intersection.py', 'Test_73_Intersection.py', 'Test_74_Intersection.py', 'Test_75_Intersection.py', 'Test_76_Change_Rates.py', 'Test_77_Change_Rates.py', 'Test_78_Change_Rates.py', 'Test_79_Change_Rates.py', 'Test_80_Change_Rates.py', 'Test_81_Change_Rates.py', 'Test_Demo.py', 'Test_Engine_Robustness.py', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.browse_cg_file                          -- Begin --                            | ('CG3531',)
GUI.browse_cg_file                          -- Function executed successfully  --  | C:\Users\nestor.navarro\Workspace\Report\CG3531Apr2020.xlsx
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['config.ini', 'NetworkSupervision_CoverageTable.PNG', 'NetworkSupervision_TC01.py', 'NetworkSupervision_TC02.py', 'NetworkSupervision_TC03.py', 'NetworkSupervision_TC04.py', 'NetworkSupervision_TC05.py', 'NetworkSupervision_TC06.py', 'NetworkSupervision_TC07.py', 'NetworkSupervision_TC08.py', 'NetworkSupervision_TC09.py', 'NetworkSupervision_TC10.py', 'NetworkSupervision_TC11.py', 'NetworkSupervision_TC12.py', 'NetworkSupervision_TC14.py', 'NetworkSupervision_TC15.py', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.checkbox_toggle                         -- Begin --                            | ()
GUI.get_test_suites                         -- Begin --                            | ()
GUI.get_test_suites                         -- Function executed successfully  --  | ['CG3531_0x2F_DeviceLimitsExceeded', 'CG3531_0x31_DeviceLimitsExceeded', 'CG3531_Automodified_NVRAM', 'CG3531_COMMON_DIDs', 'CG3531_Corp_Standard_DTCs', 'CG3531_DiagnosticFaultDetection', 'CG3531_NetworkSupervision', 'CG3531_RID_0200_0204_0205_0272', 'CG3531_RID_0209_FF00', 'CG3531_RID_021E', 'CG3531_RID_023A_023B', 'CG3531_RID_02C0', 'CG3531_RID_02C3', 'CG3531_RID_0300', 'CG3531_RID_03C2', 'CG3531_RID_FF01', 'CG3531_SecurityAccess']
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['0x2F_DevLimits_1.py', '0x2F_DevLimits_2.py', '0x2F_DevLimits_3.py', '0x2F_DevLimits_4.py', '0x2F_DevLimits_5.py', 'config.ini', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.checkbox_toggle                         -- Function executed successfully  --  | None
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['config.ini', 'NetworkSupervision_CoverageTable.PNG', 'NetworkSupervision_TC01.py', 'NetworkSupervision_TC02.py', 'NetworkSupervision_TC03.py', 'NetworkSupervision_TC04.py', 'NetworkSupervision_TC05.py', 'NetworkSupervision_TC06.py', 'NetworkSupervision_TC07.py', 'NetworkSupervision_TC08.py', 'NetworkSupervision_TC09.py', 'NetworkSupervision_TC10.py', 'NetworkSupervision_TC11.py', 'NetworkSupervision_TC12.py', 'NetworkSupervision_TC14.py', 'NetworkSupervision_TC15.py', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Filter will be reflected in Test cases list below.',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.get_test_suites                         -- Begin --                            | ()
GUI.get_test_suites                         -- Function executed successfully  --  | ['CG3388_0x10', 'CG3388_0x11', 'CG3388_0x14', 'CG3388_0x19', 'CG3388_0x22', 'CG3388_0x27', 'CG3388_0x28', 'CG3388_0x2A', 'CG3388_0x2C', 'CG3388_0x2E', 'CG3388_0x2F', 'CG3388_0x31', 'CG3388_0x34', 'CG3388_0x36', 'CG3388_0x37', 'CG3388_0x3E', 'CG3388_0x85', 'CG3388_Multiple_Tester', 'CG3388_NRC_78', 'CG3388_Scanner', 'CG3388_TransportLayer', 'CG3531_0x2F_DeviceLimitsExceeded', 'CG3531_0x31_DeviceLimitsExceeded', 'CG3531_Automodified_NVRAM', 'CG3531_COMMON_DIDs', 'CG3531_Corp_Standard_DTCs', 'CG3531_DiagnosticFaultDetection', 'CG3531_NetworkSupervision', 'CG3531_RID_0200_0204_0205_0272', 'CG3531_RID_0209_FF00', 'CG3531_RID_021E', 'CG3531_RID_023A_023B', 'CG3531_RID_02C0', 'CG3531_RID_02C3', 'CG3531_RID_0300', 'CG3531_RID_03C2', 'CG3531_RID_FF01', 'CG3531_SecurityAccess', 'CG3687_Comp_Hand', 'CG3687_Diagnostic_Address_Support', 'CG3687_ECU_Proc_Modes', 'CG3687_Gen_Boot_Requirements', 'CG3687_Proc_Modes_Details', 'CG3687_Programming_Error_Codes', 'CG3687_Prog_Data_Files', 'CG3687_Prog_Sess_Det', 'CG3687_Robustness', 'CG4577_RationalityApplication', 'CG4577_RationalityInfrastructure', 'DPS', '__dummy__', '__Examples__', '__pycache__']
GUI.show_tooltip                            -- Begin --                            | ('Directory containing report folders to be analyzed',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Generated HTML report is going to be saved to this directory',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['config.ini', 'RID_0200_Issue__506409.7z', 'Test_00_1_Basic_Test_Begin.py', 'Test_00_Basic_PyUDS_TestScript.py', 'Test_01_CanoeSimulation.py', 'Test_02_Read_Data_ID.py', 'Test_03_Excel.py', 'Test_04_AllServices.py', 'Test_05_SecurityLevels.py', 'Test_06_Signals_EnvVariables.py', 'Test_07_Step_delay.py', 'Test_08_SecurityLevels_CMAC_AES_Encryption - Copy.py', 'Test_09_Ignition_switch.py', 'Test_10_Signals+Custom_UDS.py', 'Test_11_Transition_to_programmingSession.py', 'Test_12_2C_Cumstom_UDS.py', 'Test_13_ProvisionKeys.py', 'Test_14_DisableComm_ReqSeed_01.py', 'Test_15_Multiple_tester.py', 'Test_16_WriteSBAT_NRC33.py', 'Test_17_PowerSupply.py', 'Test_18_Sys_Vars.py', 'Test_19_TimeSync_Thread.py', 'Test_20_Service_0x2A_Timing_DataIntegrity.py', 'Test_21_DataLength.py', 'Test_22_NestedNS_Sys_Vars.py', 'Test_23_Binary_Test.py', 'Test_24_Specific_Byte.py', 'Test_25_Sw_Prog_State.py', 'Test_26_Read_Binary.py', 'Test_27_Data_Dtc.py', 'Test_28_2A_Service.py', 'Test_29_Digital_IO.py', 'Test_30_Begin_Parameters.py', 'Test_31_TP_Test.py', 'Test_32_NRC_78.py', 'Test_47_Intersection.py', 'Test_48_Intersection.py', 'Test_49_Intersection.py', 'Test_50_Intersection.py', 'Test_51_Intersection.py', 'Test_52_Intersection.py', 'Test_53_Intersection.py', 'Test_54_Intersection.py', 'Test_55_Intersection.py', 'Test_56_Intersection.py', 'Test_57_Intersection.py', 'Test_58_Intersection.py', 'Test_59_Intersection.py', 'Test_60_Intersection.py', 'Test_61_Intersection.py', 'Test_62_Intersection.py', 'Test_63_Intersection.py', 'Test_64_Intersection.py', 'Test_65_Intersection.py', 'Test_66_Intersection.py', 'Test_67_Intersection.py', 'Test_68_Intersection.py', 'Test_69_Intersection.py', 'Test_70_Intersection.py', 'Test_71_Intersection.py', 'Test_72_Intersection.py', 'Test_73_Intersection.py', 'Test_74_Intersection.py', 'Test_75_Intersection.py', 'Test_76_Change_Rates.py', 'Test_77_Change_Rates.py', 'Test_78_Change_Rates.py', 'Test_79_Change_Rates.py', 'Test_80_Change_Rates.py', 'Test_81_Change_Rates.py', 'Test_Demo.py', 'Test_Engine_Robustness.py', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
GUI.browse_cg_file                          -- Begin --                            | ('CG3531',)
GUI.browse_cg_file                          -- Function executed successfully  --  | C:\Users\nestor.navarro\Workspace\Report\CG3531Apr2020.xlsx
GUI.checkbox_toggle                         -- Begin --                            | ()
GUI.get_test_suites                         -- Begin --                            | ()
GUI.get_test_suites                         -- Function executed successfully  --  | ['CG3531_0x2F_DeviceLimitsExceeded', 'CG3531_0x31_DeviceLimitsExceeded', 'CG3531_Automodified_NVRAM', 'CG3531_COMMON_DIDs', 'CG3531_Corp_Standard_DTCs', 'CG3531_DiagnosticFaultDetection', 'CG3531_NetworkSupervision', 'CG3531_RID_0200_0204_0205_0272', 'CG3531_RID_0209_FF00', 'CG3531_RID_021E', 'CG3531_RID_023A_023B', 'CG3531_RID_02C0', 'CG3531_RID_02C3', 'CG3531_RID_0300', 'CG3531_RID_03C2', 'CG3531_RID_FF01', 'CG3531_SecurityAccess']
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['0x2F_DevLimits_1.py', '0x2F_DevLimits_2.py', '0x2F_DevLimits_3.py', '0x2F_DevLimits_4.py', '0x2F_DevLimits_5.py', 'config.ini', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.checkbox_toggle                         -- Function executed successfully  --  | None
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['config.ini', 'NetworkSupervision_CoverageTable.PNG', 'NetworkSupervision_TC01.py', 'NetworkSupervision_TC02.py', 'NetworkSupervision_TC03.py', 'NetworkSupervision_TC04.py', 'NetworkSupervision_TC05.py', 'NetworkSupervision_TC06.py', 'NetworkSupervision_TC07.py', 'NetworkSupervision_TC08.py', 'NetworkSupervision_TC09.py', 'NetworkSupervision_TC10.py', 'NetworkSupervision_TC11.py', 'NetworkSupervision_TC12.py', 'NetworkSupervision_TC14.py', 'NetworkSupervision_TC15.py', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Filter will be reflected in Test cases list below.',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.get_test_suites                         -- Begin --                            | ()
GUI.get_test_suites                         -- Function executed successfully  --  | ['CG3388_0x10', 'CG3388_0x11', 'CG3388_0x14', 'CG3388_0x19', 'CG3388_0x22', 'CG3388_0x27', 'CG3388_0x28', 'CG3388_0x2A', 'CG3388_0x2C', 'CG3388_0x2E', 'CG3388_0x2F', 'CG3388_0x31', 'CG3388_0x34', 'CG3388_0x36', 'CG3388_0x37', 'CG3388_0x3E', 'CG3388_0x85', 'CG3388_Multiple_Tester', 'CG3388_NRC_78', 'CG3388_Scanner', 'CG3388_TransportLayer', 'CG3531_0x2F_DeviceLimitsExceeded', 'CG3531_0x31_DeviceLimitsExceeded', 'CG3531_Automodified_NVRAM', 'CG3531_COMMON_DIDs', 'CG3531_Corp_Standard_DTCs', 'CG3531_DiagnosticFaultDetection', 'CG3531_NetworkSupervision', 'CG3531_RID_0200_0204_0205_0272', 'CG3531_RID_0209_FF00', 'CG3531_RID_021E', 'CG3531_RID_023A_023B', 'CG3531_RID_02C0', 'CG3531_RID_02C3', 'CG3531_RID_0300', 'CG3531_RID_03C2', 'CG3531_RID_FF01', 'CG3531_SecurityAccess', 'CG3687_Comp_Hand', 'CG3687_Diagnostic_Address_Support', 'CG3687_ECU_Proc_Modes', 'CG3687_Gen_Boot_Requirements', 'CG3687_Proc_Modes_Details', 'CG3687_Programming_Error_Codes', 'CG3687_Prog_Data_Files', 'CG3687_Prog_Sess_Det', 'CG3687_Robustness', 'CG4577_RationalityApplication', 'CG4577_RationalityInfrastructure', 'DPS', '__dummy__', '__Examples__', '__pycache__']
GUI.show_tooltip                            -- Begin --                            | ('Directory containing report folders to be analyzed',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Generated HTML report is going to be saved to this directory',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Directory containing binary files',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['config.ini', 'RID_0200_Issue__506409.7z', 'Test_00_1_Basic_Test_Begin.py', 'Test_00_Basic_PyUDS_TestScript.py', 'Test_01_CanoeSimulation.py', 'Test_02_Read_Data_ID.py', 'Test_03_Excel.py', 'Test_04_AllServices.py', 'Test_05_SecurityLevels.py', 'Test_06_Signals_EnvVariables.py', 'Test_07_Step_delay.py', 'Test_08_SecurityLevels_CMAC_AES_Encryption - Copy.py', 'Test_09_Ignition_switch.py', 'Test_10_Signals+Custom_UDS.py', 'Test_11_Transition_to_programmingSession.py', 'Test_12_2C_Cumstom_UDS.py', 'Test_13_ProvisionKeys.py', 'Test_14_DisableComm_ReqSeed_01.py', 'Test_15_Multiple_tester.py', 'Test_16_WriteSBAT_NRC33.py', 'Test_17_PowerSupply.py', 'Test_18_Sys_Vars.py', 'Test_19_TimeSync_Thread.py', 'Test_20_Service_0x2A_Timing_DataIntegrity.py', 'Test_21_DataLength.py', 'Test_22_NestedNS_Sys_Vars.py', 'Test_23_Binary_Test.py', 'Test_24_Specific_Byte.py', 'Test_25_Sw_Prog_State.py', 'Test_26_Read_Binary.py', 'Test_27_Data_Dtc.py', 'Test_28_2A_Service.py', 'Test_29_Digital_IO.py', 'Test_30_Begin_Parameters.py', 'Test_31_TP_Test.py', 'Test_32_NRC_78.py', 'Test_47_Intersection.py', 'Test_48_Intersection.py', 'Test_49_Intersection.py', 'Test_50_Intersection.py', 'Test_51_Intersection.py', 'Test_52_Intersection.py', 'Test_53_Intersection.py', 'Test_54_Intersection.py', 'Test_55_Intersection.py', 'Test_56_Intersection.py', 'Test_57_Intersection.py', 'Test_58_Intersection.py', 'Test_59_Intersection.py', 'Test_60_Intersection.py', 'Test_61_Intersection.py', 'Test_62_Intersection.py', 'Test_63_Intersection.py', 'Test_64_Intersection.py', 'Test_65_Intersection.py', 'Test_66_Intersection.py', 'Test_67_Intersection.py', 'Test_68_Intersection.py', 'Test_69_Intersection.py', 'Test_70_Intersection.py', 'Test_71_Intersection.py', 'Test_72_Intersection.py', 'Test_73_Intersection.py', 'Test_74_Intersection.py', 'Test_75_Intersection.py', 'Test_76_Change_Rates.py', 'Test_77_Change_Rates.py', 'Test_78_Change_Rates.py', 'Test_79_Change_Rates.py', 'Test_80_Change_Rates.py', 'Test_81_Change_Rates.py', 'Test_Demo.py', 'Test_Engine_Robustness.py', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.update_config_window                    -- Begin --                            | ()
GUI.update_config_window                    -- Function executed successfully  --  | None
GUI.checkbox_toggle                         -- Begin --                            | ()
GUI.get_test_suites                         -- Begin --                            | ()
GUI.get_test_suites                         -- Function executed successfully  --  | ['CG3531_0x2F_DeviceLimitsExceeded', 'CG3531_0x31_DeviceLimitsExceeded', 'CG3531_Automodified_NVRAM', 'CG3531_COMMON_DIDs', 'CG3531_Corp_Standard_DTCs', 'CG3531_DiagnosticFaultDetection', 'CG3531_NetworkSupervision', 'CG3531_RID_0200_0204_0205_0272', 'CG3531_RID_0209_FF00', 'CG3531_RID_021E', 'CG3531_RID_023A_023B', 'CG3531_RID_02C0', 'CG3531_RID_02C3', 'CG3531_RID_0300', 'CG3531_RID_03C2', 'CG3531_RID_FF01', 'CG3531_SecurityAccess']
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['0x2F_DevLimits_1.py', '0x2F_DevLimits_2.py', '0x2F_DevLimits_3.py', '0x2F_DevLimits_4.py', '0x2F_DevLimits_5.py', 'config.ini', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.checkbox_toggle                         -- Function executed successfully  --  | None
GUI.browse_cg_file                          -- Begin --                            | ('CG3531',)
GUI.browse_cg_file                          -- Function executed successfully  --  | C:\Users\nestor.navarro\Workspace\Report\CG3531Apr2020.xlsx
GUI.update_test_cases                       -- Begin --                            | ()
GUI.get_files                               -- Begin --                            | ()
GUI.get_files                               -- Function executed successfully  --  | ['config.ini', 'NetworkSupervision_CoverageTable.PNG', 'NetworkSupervision_TC01.py', 'NetworkSupervision_TC02.py', 'NetworkSupervision_TC03.py', 'NetworkSupervision_TC04.py', 'NetworkSupervision_TC05.py', 'NetworkSupervision_TC06.py', 'NetworkSupervision_TC07.py', 'NetworkSupervision_TC08.py', 'NetworkSupervision_TC09.py', 'NetworkSupervision_TC10.py', 'NetworkSupervision_TC11.py', 'NetworkSupervision_TC12.py', 'NetworkSupervision_TC14.py', 'NetworkSupervision_TC15.py', 'test_rows.json']
GUI.update_test_cases                       -- Function executed successfully  --  | None
GUI.run_selection                           -- Begin --                            | ()
GUI.run_selection                           -- Function executed successfully  --  | None
GUI.show_tooltip                            -- Begin --                            | ('Filter will be reflected in Test cases list below.',)
GUI.show_tooltip                            -- Function executed successfully  --  | None
GUI.get_test_suites                         -- Begin --                            | ()
GUI.get_test_suites                         -- Function executed successfully  --  | ['CG3388_0x10', 'CG3388_0x11', 'CG3388_0x14', 'CG3388_0x19', 'CG3388_0x22', 'CG3388_0x27', 'CG3388_0x28', 'CG3388_0x2A', 'CG3388_0x2C', 'CG3388_0x2E', 'CG3388_0x2F', 'CG3388_0x31', 'CG3388_0x34', 'CG3388_0x36', 'CG3388_0x37', 'CG3388_0x3E', 'CG3388_0x85', 'CG3388_Multiple_Tester', 'CG3388_NRC_78', 'CG3388_Scanner', 'CG3388_TransportLayer', 'CG3531_0x2F_DeviceLimitsExceeded', 'CG3531_0x31_DeviceLimitsExceeded', 'CG3531_Automodified_NVRAM', 'CG3531_COMMON_DIDs', 'CG3531_Corp_Standard_DTCs', 'CG3531_DiagnosticFaultDetection', 'CG3531_NetworkSupervision', 'CG3531_RID_0200_0204_0205_0272', 'CG3531_RID_0209_FF00', 'CG3531_RID_021E', 'CG3531_RID_023A_023B', 'CG3531_RID_02C0', 'CG3531_RID_02C3', 'CG3531_RID_0300', 'CG3531_RID_03C2', 'CG3531_RID_FF01', 'CG3531_SecurityAccess', 'CG3687_Comp_Hand', 'CG3687_Diagnostic_Address_Support', 'CG3687_ECU_Proc_Modes', 'CG3687_Gen_Boot_Requirements', 'CG3687_Proc_Modes_Details', 'CG3687_Programming_Error_Codes', 'CG3687_Prog_Data_Files', 'CG3687_Prog_Sess_Det', 'CG3687_Robustness', 'CG4577_RationalityApplication', 'CG4577_RationalityInfrastructure', 'DPS', '__dummy__', '__Examples__', '__pycache__']
GUI.show_tooltip                            -- Begin --                            | ('Directory containing report folders to be analyzed',)
